r,theta
100,0
150,0.785
200,1.5
250,2.3
300,3.14
350,3.9
400,4.7
450,5.4
500,6.2
550,0.52
600,1.9
650,1.5
700,2.09
750,2.6
800,3.14
850,3.66
900,4.1
950,4.7
1000,5.2
100,4
150,0.785
200,1.5
250,2.3
300,3.14
350,3.9
400,4.7
450,5.4
500,6.2
550,0.52
600,1.9
650,1.5
700,2.09
750,2.6
800,3.14
850,3.66
900,4.1
950,4.7
1000,5.2
550,3
600,6.2
650,0.52
700,1.9
750,1.5
800,2.09
850,2.6
900,3.14
950,3.66
1000,4.1
100,4.7
150,5.2
200,1
250,2.6
300,3.14
350,3.66
550,4.1
600,2.09
650,2.6
700,3.14
750,3.66
800,4.1
850,4.7
900,5.2
950,1
1000,2.6
100,3.14
150,3.66
200,2.09
250,2.6
300,3.14
350,3.66
550,4.1
600,4.7
650,5.2
700,1
750,2.6
800,3.14
850,3.66
900,2.09
950,2.6
1000,3.14
100,3.66
150,4.1
200,4.7
250,5.2
300,1
350,2.6
550,3.14
600,3.66
650,1
700,2.6
750,3.14
800,3.66
850,3.14
900,3.66
950,4.1
1000,4.7
100,5.2
150,1
200,2.6
250,3.14
300,3.66
350,2.09
550,2.6
600,3.14
650,3.66
700,4.1
750,4.7
800,5.2
850,1
900,2.6
950,3.14
1000,3.66
100,3.66
150,2.6
200,3.14
250,3.66
300,1
350,3
